ID,X,Y,Z
1,-2.6123207,6.1373916,5.7540016
2,-1.4614775,3.3519776,9.215748
3,-1.0508897,5.542338,8.342621
4,-1.2371505,5.593692,8.236082
5,-1.1425836,5.615119,8.246857
6,-1.209738,5.628047,8.256672
7,-1.4010266,5.792641,8.059518
8,-1.4771588,5.873682,8.046231
9,-1.985067,4.844339,8.421146
10,-7.7101946,5.376667,1.462699
11,-1.7024437,5.2971835,8.297491
12,-1.9034283,3.7168381,9.091733
13,-1.7686408,3.7391033,9.07737
14,-1.7862371,3.7169578,9.094607
15,-1.8320841,3.7216258,9.087305
16,-1.8238245,3.7326388,9.090297
17,-1.8441744,3.714683,9.0972395
18,-1.8701502,3.7363498,9.083834
19,-1.8438151,3.7581367,9.075812
20,-1.8506384,3.7272525,9.092214
21,-1.8252609,3.742335,9.096163
22,-1.8260987,3.7142043,9.097719
23,-1.8599752,3.7107327,9.090178
24,-1.8294506,3.719352,9.095085
25,-1.8059883,3.7121696,9.092932
26,-1.8572222,3.728928,9.07641
27,-1.9254539,3.7673535,9.034873
28,-2.586824,3.5561938,9.084312
29,-2.9911869,6.7782927,6.1000686
30,-0.09600337,6.0119414,7.9453216
31,-0.1505888,6.1002836,8.078193
32,-0.0314824,5.895707,8.10297
33,0.7747303,5.509539,8.517749
34,1.150963,5.7481112,8.437067
35,-1.0293428,6.375964,7.6574287
36,-1.5165418,6.3698587,7.5708833
37,-1.7932999,6.456046,7.4139495
38,-1.8841559,6.432105,7.463029
39,-1.9442475,6.4489837,7.4921165
40,-2.0379765,6.387934,7.539521
41,-1.962323,6.470411,7.4851737
42,-2.009846,6.4890847,7.5745926
43,-0.5495653,7.488262,7.1090612
44,0.5656058,6.0519223,8.184491
45,-0.36617738,4.020769,9.32456
46,-0.050276052,4.549146,8.884764
47,-0.11192413,5.23326,8.699579
48,-1.7215964,6.213404,7.6076317
49,-0.48648086,6.395475,7.6283426
50,-0.43273336,5.9979353,8.059997
51,-0.53029287,5.9583135,8.150735
52,-0.7653934,5.964418,8.096987
53,-0.6231839,5.9844084,8.02217
54,-0.70601976,5.9828525,8.208311
55,-0.5363978,6.003442,8.1566
56,-0.59660935,5.964896,8.100338
57,-0.48456556,6.009547,8.106562
58,-0.14615971,5.9323378,8.1155405
59,-0.022025708,5.977107,8.102972
60,-0.35372812,5.973874,8.027677
61,-0.6067844,5.8620706,8.17647
62,-0.8727687,5.997217,8.0476675
63,-0.8471519,5.9141417,8.180061
64,-0.848708,5.9469414,8.00625
65,-0.6578983,5.9695654,8.0586815
66,-0.4707995,6.0612593,8.575327
67,-0.6862683,5.8421993,7.8080187
68,0.7729348,5.960707,8.226986
69,-0.21989796,5.637863,8.113984
70,-0.21211715,5.582679,8.400317
71,0.06895004,5.5328817,8.575088
72,0.08151907,5.7053766,8.219804
73,-0.14005478,5.4762616,8.449396
74,-0.019990722,5.6914907,8.266967
75,-0.061169226,5.6310396,8.357104
76,-0.18901409,5.446455,8.41181
77,-0.5192801,4.7073965,8.670851
78,-0.36426213,4.922866,9.330666
79,0.45691374,5.5022373,8.547794
80,0.04273466,5.6698246,8.1659355
81,-0.2230103,5.717706,7.956453
82,-0.26251292,5.684189,8.599268
83,-0.45882902,5.6063805,8.096507
84,-0.48157296,5.558499,8.327538
85,-0.568359,5.6036277,8.356505
86,-0.062126864,5.685027,8.24135
87,-0.19272494,5.5851927,8.469269
88,0.56249356,5.6533055,8.3507595
89,-0.23486109,5.6709013,8.236681
90,-0.12449312,5.886609,8.181617
91,0.22253147,5.5981207,8.407619
92,0.035911478,5.5140886,8.439101
93,-0.057218958,5.5255804,8.377574
94,0.040220864,5.5444937,8.410373
95,0.018554267,5.5522738,8.452868
96,-0.13658334,5.5351562,8.399001
97,-0.13550599,5.518876,8.421267
